division,round,game,seed_A,seed_B,winner_seed,pwin_A
East,Round of 64,1,1,16,1,0.9739489646910132
East,Round of 64,2,8,9,8,0.5358627886858962
East,Round of 64,3,5,12,5,0.745777658124724
East,Round of 64,4,4,13,4,0.8111915463736891
East,Round of 64,5,6,11,11,0.6774487333606369
East,Round of 64,6,3,14,3,0.8724532805361583
East,Round of 64,7,7,10,7,0.6072064170451493
East,Round of 64,8,2,15,2,0.9277875316059586
East,Round of 32,1,1,8,1,0.8294345819886838
East,Round of 32,2,5,4,5,0.455492842078011
East,Round of 32,3,11,3,3,0.21151848164708298
East,Round of 32,4,7,2,2,0.27306738922456564
East,Sweet 16,1,1,5,1,0.7494745816531578
East,Sweet 16,2,3,2,2,0.4333697650238372
East,Elite 8,1,1,2,1,0.6051382900828456
West,Round of 64,1,1,16,1,0.9739489646910132
West,Round of 64,2,8,9,9,0.5358627886858962
West,Round of 64,3,5,12,5,0.745777658124724
West,Round of 64,4,4,13,4,0.8111915463736891
West,Round of 64,5,6,11,11,0.6774487333606369
West,Round of 64,6,3,14,3,0.8724532805361583
West,Round of 64,7,7,10,7,0.6072064170451493
West,Round of 64,8,2,15,2,0.9277875316059586
West,Round of 32,1,1,9,1,0.8506929219030254
West,Round of 32,2,5,4,4,0.455492842078011
West,Round of 32,3,11,3,3,0.21151848164708298
West,Round of 32,4,7,2,7,0.27306738922456564
West,Sweet 16,1,1,4,1,0.7129919313452231
West,Sweet 16,2,3,7,3,0.6690417414428322
West,Elite 8,1,1,3,1,0.6673019712481083
South,Round of 64,1,1,16,1,0.9739489646910132
South,Round of 64,2,8,9,8,0.5358627886858962
South,Round of 64,3,5,12,12,0.745777658124724
South,Round of 64,4,4,13,13,0.8111915463736891
South,Round of 64,5,6,11,6,0.6774487333606369
South,Round of 64,6,3,14,3,0.8724532805361583
South,Round of 64,7,7,10,10,0.6072064170451493
South,Round of 64,8,2,15,2,0.9277875316059586
South,Round of 32,1,1,8,1,0.8294345819886838
South,Round of 32,2,12,13,12,0.5453340930118153
South,Round of 32,3,6,3,3,0.3657574346963435
South,Round of 32,4,10,2,2,0.1914917886667834
South,Sweet 16,1,1,12,1,0.9062495797357564
South,Sweet 16,2,3,2,2,0.4333697650238372
South,Elite 8,1,1,2,1,0.6051382900828456
Midwest,Round of 64,1,1,16,1,0.9739489646910132
Midwest,Round of 64,2,8,9,8,0.5358627886858962
Midwest,Round of 64,3,5,12,5,0.745777658124724
Midwest,Round of 64,4,4,13,13,0.8111915463736891
Midwest,Round of 64,5,6,11,11,0.6774487333606369
Midwest,Round of 64,6,3,14,3,0.8724532805361583
Midwest,Round of 64,7,7,10,10,0.6072064170451493
Midwest,Round of 64,8,2,15,2,0.9277875316059586
Midwest,Round of 32,1,1,8,8,0.8294345819886838
Midwest,Round of 32,2,5,13,5,0.7820022883932464
Midwest,Round of 32,3,11,3,3,0.21151848164708298
Midwest,Round of 32,4,10,2,10,0.1914917886667834
Midwest,Sweet 16,1,8,5,8,0.38731354135657126
Midwest,Sweet 16,2,3,10,3,0.7604195151589681
Midwest,Elite 8,1,8,3,3,0.29877908203553105
